; Date generated Fri Jul  7 14:01:49 2023
; 
;   Solar Spectral Irradiance from 
;   NASA SDO EVE Rocket 36.353 Results
;     MEGS-A and B Combined Spectrum
;     Sept 9, 2021
; ------------------------------------
;     Don Woodraska, Brian Templeman, Phil Chamberlin,
;     Tom Woods, Frank Eparvier, Andrew Jones
; 
;  This spectrum spans the EUV from approximately 6 to 105 nm.
; 
; *****
; ***** WARNING: THIS IS PRELIMINARY DATA - DO NOT PUBLISH
; *****
; ***** WARNING: This data is not ready for publication and may change.
; *****
; ***** WARNING: Uncertainties are underestimated!
; *****
; 
;  Applied calibration from SURF 2017
;  Applied NRL-MSIS00E atmospheric correction, about 3% at 30.4 nm
; 
;  MEGS-A slit 1 wavelength range is 0.01 nm sampling from 6-14.93 nm
;  MEGS-A slit 2 wavelength range is 0.01 nm sampling from 14.93-37.0000 nm
;  MEGS-B wavelength range is 0.02 nm sampling from 37.0000-105 nm
;  MEGS-B used 2017 380MeV scaled to 2010 ratio of 140/380MeV
;  MEGS-A1 used 2017 285MeV adjusted for 3_7
 11.920 1.210820e-05  0.103
 11.940 1.174015e-05  0.097
 11.960 1.086597e-05  0.101
 11.980 1.006441e-05  0.103
 12.000 9.795542e-06  0.101
 12.020 1.006013e-05  0.100
 12.040 1.039902e-05  0.104
 12.060 1.059095e-05  0.110
 12.080 1.070840e-05  0.107
 12.100 1.101402e-05  0.104
 12.120 1.121829e-05  0.102
 12.140 1.132601e-05  0.102
 12.160 1.123201e-05  0.104
 12.180 1.102072e-05  0.103
 12.200 1.106935e-05  0.105
 12.220 1.168064e-05  0.103
 12.240 1.268750e-05  0.098
 12.260 1.378220e-05  0.100
 12.280 1.406585e-05  0.102
 12.300 1.390672e-05  0.100
 12.320 1.373175e-05  0.102
 12.340 1.368357e-05  0.104
 12.360 1.336425e-05  0.104
 12.380 1.237883e-05  0.104
 12.400 1.045783e-05  0.106
 12.420 8.829974e-06  0.107
 12.440 7.831559e-06  0.107
 12.460 7.550955e-06  0.106
 12.480 7.471453e-06  0.104
 12.500 7.248947e-06  0.105
 12.520 6.957070e-06  0.106
 12.540 6.615313e-06  0.106
 12.560 6.175635e-06  0.111
 12.580 5.744532e-06  0.112
 12.600 5.291919e-06  0.112
 12.620 5.062440e-06  0.110
 12.640 5.123828e-06  0.113
 12.660 5.390914e-06  0.112
 12.680 5.834844e-06  0.111
 12.700 6.543154e-06  0.106
 12.720 7.793766e-06  0.109
 12.740 9.215329e-06  0.107
 12.760 1.027327e-05  0.105
 12.780 1.065457e-05  0.104
 12.800 9.925007e-06  0.107
 12.820 8.884667e-06  0.110
 12.840 7.954509e-06  0.111
 12.860 7.404232e-06  0.113
 12.880 7.308952e-06  0.109
 12.900 7.576002e-06  0.111
 12.920 8.442873e-06  0.112
 12.940 9.637850e-06  0.111
 12.960 1.121377e-05  0.112
 12.980 1.247969e-05  0.110
 13.000 1.273126e-05  0.112
 13.020 1.252225e-05  0.111
 13.040 1.300870e-05  0.108
 13.060 1.487425e-05  0.112
 13.080 1.801084e-05  0.111
 13.100 2.088534e-05  0.109
 13.120 2.188620e-05  0.108
 13.140 1.999054e-05  0.109
 13.160 1.624010e-05  0.112
 13.180 1.262419e-05  0.111
 13.200 1.004341e-05  0.112
 13.220 8.971843e-06  0.109
 13.240 8.881344e-06  0.107
 13.260 8.666000e-06  0.107
 13.280 8.026670e-06  0.110
 13.300 7.374673e-06  0.109
 13.320 7.297529e-06  0.110
 13.340 8.069239e-06  0.106
 13.360 9.639379e-06  0.107
 13.380 1.131969e-05  0.113
 13.400 1.234586e-05  0.111
 13.420 1.211724e-05  0.111
 13.440 1.085367e-05  0.110
 13.460 9.095131e-06  0.116
 13.480 7.751298e-06  0.116
 13.500 6.890495e-06  0.115
 13.520 6.482514e-06  0.113
 13.540 6.586966e-06  0.112
 13.560 6.628284e-06  0.112
 13.580 6.833325e-06  0.119
 13.600 7.520326e-06  0.116
 13.620 8.040277e-06  0.114
 13.640 8.717524e-06  0.114
 13.660 9.400517e-06  0.121
 13.680 9.620080e-06  0.118
 13.700 9.013611e-06  0.118
 13.720 8.482171e-06  0.118
 13.740 8.001226e-06  0.116
 13.760 8.158644e-06  0.119
 13.780 9.025249e-06  0.114
 13.800 9.978401e-06  0.113
 13.820 1.054205e-05  0.114
 13.840 1.022283e-05  0.116
 13.860 9.550669e-06  0.117
 13.880 8.259282e-06  0.116
 13.900 7.370726e-06  0.114
 13.920 7.533434e-06  0.113
 13.940 8.140815e-06  0.113
 13.960 9.339686e-06  0.113
 13.980 1.061468e-05  0.117
 14.000 1.135835e-05  0.119
 14.020 1.177183e-05  0.119
 14.040 1.233558e-05  0.122
 14.060 1.307855e-05  0.121
 14.080 1.371180e-05  0.117
 14.100 1.376699e-05  0.114
 14.120 1.309654e-05  0.109
 14.140 1.159677e-05  0.113
 14.160 9.893159e-06  0.121
 14.180 8.178111e-06  0.124
 14.200 7.440602e-06  0.122
 14.220 7.251653e-06  0.118
 14.240 7.393871e-06  0.119
 14.260 7.831395e-06  0.120
 14.280 8.319161e-06  0.123
 14.300 8.581720e-06  0.125
 14.320 9.250499e-06  0.128
 14.340 1.023962e-05  0.121
 14.360 1.181679e-05  0.116
 14.380 1.427257e-05  0.112
 14.400 1.713284e-05  0.114
 14.420 1.990963e-05  0.118
 14.440 2.189526e-05  0.117
 14.460 2.331308e-05  0.118
 14.480 2.407321e-05  0.114
 14.500 2.364370e-05  0.114
 14.520 2.264382e-05  0.115
 14.540 2.123990e-05  0.117
 14.560 2.008860e-05  0.117
 14.580 1.904835e-05  0.114
 14.600 1.767513e-05  0.116
 14.620 1.552758e-05  0.118
 14.640 1.345034e-05  0.116
 14.660 1.270404e-05  0.113
 14.680 1.304721e-05  0.116
 14.700 1.396671e-05  0.116
 14.720 1.487215e-05  0.114
 14.740 1.691870e-05  0.116
 14.760 2.417474e-05  0.123
 14.780 3.848906e-05  0.124
 14.800 5.704139e-05  0.121
 14.820 7.289622e-05  0.117
 14.840 7.647287e-05  0.116
 14.860 6.511184e-05  0.116
 14.880 4.553667e-05  0.121
 14.900 2.651429e-05  0.129
 14.920 9.714778e-06  0.195
 14.940 2.898484e-06  0.626
 14.960 1.281793e-05  0.207
 14.980 2.510573e-05  0.140
 15.000 2.775997e-05  0.155
 15.020 2.679854e-05  0.152
 15.040 2.050391e-05  0.153
 15.060 1.088908e-05  0.185
 15.080 7.548314e-06  0.240
 15.100 7.343390e-06  0.313
 15.120 8.667926e-06  0.221
 15.140 9.323073e-06  0.196
 15.160 1.674351e-05  0.152
 15.180 2.812845e-05  0.137
 15.200 3.629841e-05  0.133
 15.220 3.795134e-05  0.136
 15.240 3.088342e-05  0.140
 15.260 1.855733e-05  0.141
 15.280 1.205909e-05  0.165
 15.300 7.575071e-06  0.194
 15.320 5.891809e-06  0.222
 15.340 5.859886e-06  0.180
 15.360 7.279394e-06  0.179
 15.380 1.344005e-05  0.163
 15.400 2.069538e-05  0.145
 15.420 2.222549e-05  0.144
 15.440 2.004595e-05  0.130
 15.460 1.342287e-05  0.140
 15.480 9.543457e-06  0.148
 15.500 6.529401e-06  0.191
 15.520 5.609546e-06  0.179
 15.540 4.348119e-06  0.242
 15.560 4.697910e-06  0.226
 15.580 4.095967e-06  0.310
 15.600 4.826282e-06  0.237
 15.620 5.297717e-06  0.220
 15.640 6.134731e-06  0.202
 15.660 5.986398e-06  0.187
 15.680 5.693871e-06  0.202
 15.700 6.125274e-06  0.176
 15.720 9.310024e-06  0.148
 15.740 1.666351e-05  0.127
 15.760 2.242484e-05  0.122
 15.780 2.415983e-05  0.130
 15.800 2.404421e-05  0.130
 15.820 2.145137e-05  0.137
 15.840 2.083499e-05  0.131
 15.860 1.734880e-05  0.135
 15.880 1.371319e-05  0.153
 15.900 9.223674e-06  0.183
 15.920 7.871629e-06  0.178
 15.940 8.080171e-06  0.176
 15.960 1.178909e-05  0.161
 15.980 1.500334e-05  0.145
 16.000 1.900157e-05  0.139
 16.020 1.914601e-05  0.146
 16.040 1.674406e-05  0.139
 16.060 1.349167e-05  0.139
 16.080 1.014200e-05  0.141
 16.100 6.756744e-06  0.185
 16.120 5.964385e-06  0.193
 16.140 7.037661e-06  0.195
 16.160 8.791397e-06  0.223
 16.180 9.947622e-06  0.199
 16.200 9.257829e-06  0.243
 16.220 1.006929e-05  0.198
 16.240 1.102603e-05  0.138
 16.260 8.912845e-06  0.165
 16.280 6.934555e-06  0.190
 16.300 5.073967e-06  0.208
 16.320 5.797887e-06  0.190
 16.340 6.055278e-06  0.199
 16.360 9.349639e-06  0.158
 16.380 1.565375e-05  0.148
 16.400 2.131145e-05  0.147
 16.420 2.088079e-05  0.151
 16.440 1.673156e-05  0.152
 16.460 1.119426e-05  0.170
 16.480 9.417713e-06  0.169
 16.500 9.771665e-06  0.182
 16.520 1.292416e-05  0.169
 16.540 1.382219e-05  0.178
 16.560 1.457960e-05  0.172
 16.580 1.458464e-05  0.148
 16.600 1.395256e-05  0.149
 16.620 1.288869e-05  0.150
 16.640 1.163086e-05  0.146
 16.660 1.115077e-05  0.155
 16.680 1.380536e-05  0.150
 16.700 2.587386e-05  0.144
 16.720 4.226434e-05  0.135
 16.740 5.559952e-05  0.132
 16.760 6.843118e-05  0.129
 16.780 8.089462e-05  0.131
 16.800 9.283714e-05  0.133
 16.820 1.015064e-04  0.134
 16.840 9.388223e-05  0.132
 16.860 7.693181e-05  0.132
 16.880 5.638182e-05  0.131
 16.900 4.077495e-05  0.131
 16.920 3.736173e-05  0.130
 16.940 4.566253e-05  0.135
 16.960 5.270940e-05  0.134
 16.980 4.576379e-05  0.136
 17.000 3.240536e-05  0.136
 17.020 4.334215e-05  0.139
 17.040 1.603073e-04  0.144
 17.060 4.300788e-04  0.144
 17.080 6.786358e-04  0.145
 17.100 7.728976e-04  0.146
 17.120 6.451209e-04  0.146
 17.140 3.609660e-04  0.145
 17.160 1.483710e-04  0.140
 17.180 6.318711e-05  0.135
 17.200 3.831442e-05  0.132
 17.220 3.039858e-05  0.132
 17.240 3.127823e-05  0.133
 17.260 4.193517e-05  0.131
 17.280 5.371908e-05  0.133
 17.300 5.730811e-05  0.134
 17.320 4.838637e-05  0.132
 17.340 3.547906e-05  0.133
 17.360 3.576971e-05  0.135
 17.380 9.060911e-05  0.143
 17.400 2.734588e-04  0.144
 17.420 4.959995e-04  0.145
 17.440 6.095068e-04  0.146
 17.460 5.597137e-04  0.147
 17.480 3.641700e-04  0.146
 17.500 1.906557e-04  0.139
 17.520 1.117713e-04  0.136
 17.540 7.930123e-05  0.136
 17.560 5.401207e-05  0.137
 17.580 3.559349e-05  0.140
 17.600 2.698408e-05  0.139
 17.620 2.964098e-05  0.139
 17.640 5.285583e-05  0.139
 17.660 1.308332e-04  0.142
 17.680 2.666948e-04  0.142
 17.700 3.687049e-04  0.144
 17.720 3.873100e-04  0.145
 17.740 3.016748e-04  0.144
 17.760 1.720498e-04  0.142
 17.780 8.807201e-05  0.139
 17.800 5.396334e-05  0.137
 17.820 4.093753e-05  0.138
 17.840 3.494911e-05  0.138
 17.860 3.558434e-05  0.138
 17.880 3.932399e-05  0.138
 17.900 4.089801e-05  0.137
 17.920 4.052021e-05  0.137
 17.940 4.205403e-05  0.139
 17.960 6.563049e-05  0.141
 17.980 1.796958e-04  0.147
 18.000 3.724064e-04  0.148
 18.020 5.118700e-04  0.151
 18.040 5.323254e-04  0.152
 18.060 3.971067e-04  0.150
 18.080 2.138741e-04  0.146
 18.100 1.016731e-04  0.143
 18.120 5.633384e-05  0.139
 18.140 4.052826e-05  0.139
 18.160 5.016269e-05  0.142
 18.180 7.814033e-05  0.140
 18.200 9.917116e-05  0.139
 18.220 9.986400e-05  0.139
 18.240 7.422548e-05  0.140
 18.260 4.307301e-05  0.142
